customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST00001,43.0,Female,South,Secondary,Salaried,,203505.19032537736,Car,694.7652794293834,1,146,33.01417750479708,2025-07-23,1
CUST00002,41.0,Female,West,Graduate,Salaried,119122.86093476124,197656.74240594212,Other,638.308984357378,1,76,27.024798260082544,2023-06-08,1
CUST00003,41.0,Male,East,Post-Graduate,,68603.44060653963,132779.68310096033,Business,850.0,6,31,35.33754010183696,2017-02-06,1
CUST00004,27.0,Female,East,Graduate,Salaried,129773.06070970745,172829.25858560886,Home,595.1527309176754,0,132,16.60290045739577,2019-09-28,1
CUST00005,30.0,Female,North,Post-Graduate,Salaried,74947.6998451184,109098.17595394528,Home,606.0020559893447,9,110,11.675467175673985,2025-03-02,0
CUST00006,49.0,Female,North,Graduate,Self-Employed,65071.35906706404,142185.21824434647,Education,713.7232550124963,11,169,35.93788427327753,2020-06-07,0
CUST00007,34.0,Female,North,Graduate,Salaried,49384.03135818216,96008.42855319768,Home,666.5978322911461,1,75,32.15150819062752,2023-08-31,0
CUST00008,52.0,Male,West,Post-Graduate,Self-Employed,,277260.3446470823,Other,616.0670397218307,9,157,25.940007461251785,2025-06-26,0
CUST00009,60.0,Female,East,Secondary,Salaried,78123.46790765032,141953.22057450147,Business,726.8301718990525,3,71,27.90982086138345,2019-11-30,0
CUST00010,35.0,Male,East,Graduate,Salaried,108535.44644468628,277055.1112923238,Car,646.7082268215103,0,94,9.001566453357565,2020-01-23,1
CUST00011,43.0,Male,North,Secondary,Salaried,93155.53532015621,190184.13898007342,Car,646.1442618042089,3,8,52.62539810243907,2017-06-09,1
CUST00012,58.0,Male,West,Post-Graduate,Salaried,76912.204055332,104523.6738942097,Other,,11,110,17.89072406103639,2019-01-12,0
CUST00013,45.0,Male,West,Post-Graduate,Unemployed,55968.95066729123,184527.41080950253,Home,511.2703448390129,10,83,22.103672291926753,2023-08-13,0
CUST00014,29.0,Male,North,Primary,Salaried,142194.01615931472,243984.29380305737,Car,522.5396806568451,9,100,76.97158596261303,2019-10-15,0
CUST00015,36.0,Female,North,Graduate,Salaried,44789.13416529602,156562.34875090065,Home,736.9516490069446,4,97,7.127561884457647,2024-01-03,0
CUST00016,62.0,Male,North,Post-Graduate,Salaried,157253.86426862882,168891.9898329406,Other,595.8430663265997,8,78,16.985470583158722,2023-02-03,0
CUST00017,27.0,Female,South,Secondary,Salaried,54104.34569261703,123533.95614761951,Car,639.3638921432243,0,130,8.436149928098763,2023-03-02,1
CUST00018,44.0,Male,East,Graduate,Self-Employed,62852.05168184794,164728.11620752243,Education,778.9950908898342,11,20,31.300402077444044,2021-06-11,0
CUST00019,46.0,Male,South,Post-Graduate,Salaried,40942.70321068363,183312.7692278319,Business,642.9706035256332,4,151,26.698610790878984,2026-04-27,0
CUST00020,52.0,Female,South,Primary,Self-Employed,73068.94393301236,121855.6093582881,Home,633.1928948714271,1,161,5.947916558579895,2022-01-07,0
