customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,city,state,account_type,kyc_verified,total_paid_on_time,avg_emi,avg_outstanding,avg_repo_rate,avg_inflation,avg_gdp_growth,income_was_missing,join_year,join_month,join_day,join_weekday,customer_tenure_days,education_encoded,gender_encoded,region_North,region_South,region_West,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,income_bin,repay_bin,good_credit,transaction_qbin,transaction_kmeans_bin,debt_to_income,avg_monthly_trans,spending_pct
CUST00001,0.01319545050786959,Female,South,Secondary,Salaried,-0.18834586952883547,-0.024185004384574504,Car,0.5785973934946668,-1.3034188412596384,0.821056226136365,0.3050263975516677,2025-07-23,1,North Dumdum,Nagaland,NRI,True,4,27022.933333333334,232412.015,6.52,4.820833333333334,6.12,1,2025,7,23,2,399,1.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Very Low,Low,0,2,0,1.9614061776716352,24.333333333333332,33.01417750479708
CUST00002,-0.152639265334278,Female,West,Graduate,Salaried,-0.15451480701100137,-0.06016295093515861,Other,-0.16069569039671613,-1.3034188412596384,-0.43383320245633267,-0.06390794059239087,2023-06-08,1,Saharsa,Maharashtra,Savings,False,5,27255.398333333334,201958.625,6.52,4.820833333333334,6.12,0,2023,6,8,3,1175,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Very Low,Low,0,1,3,1.6592539970996218,12.666666666666666,27.024798260082544
CUST00003,-0.152639265334278,Male,East,Post-Graduate,Salaried,-0.45429763474077367,-0.4592677055961342,Business,2.6113902849037833,0.14321694260233545,-1.240547835123067,0.4481411022623428,2017-02-06,1,Nanded,Uttarakhand,Savings,True,2,26701.903333333335,120184.54666666668,6.52,4.820833333333334,6.12,0,2017,2,6,0,3488,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very Low,High,1,0,2,1.9354386090323032,5.166666666666667,35.33754010183696
CUST00004,-1.313482276229311,Female,East,Graduate,Salaried,-0.09131639769281694,-0.2128943932217631,Home,-0.7258252238516378,-1.5927459980320333,0.5700783404178255,-0.7058769679222877,2019-09-28,1,Vasai-Virar,Punjab,Savings,True,5,32958.92833333334,267641.81666666665,6.52,4.820833333333334,6.12,0,2019,9,28,5,2524,2.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Very Low,None,0,2,0,1.33177044503687,22.0,16.60290045739577
CUST00005,-1.0647302024660896,Female,North,Post-Graduate,Salaried,-0.41665072664017894,-0.6049494334852069,Home,-0.5837537156142552,1.0111984129195197,0.17568452000297763,-1.0093974601578195,2025-03-02,0,Srikakulam,Tamil Nadu,NRI,True,4,32816.073333333334,367896.3466666667,6.52,4.820833333333334,6.12,0,2025,3,2,6,542,3.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Very Low,High,0,2,0,1.455638005454355,18.333333333333332,11.675467175673983
CUST00006,0.5106995980343123,Female,North,Graduate,Self-Employed,-0.4752570476714207,-0.40140759547292365,Education,0.8268513785516287,1.5898527264643094,1.2333770383882514,0.48512115820796164,2020-06-07,0,Ahmedabad,Madhya Pradesh,NRI,False,4,26320.218333333334,288764.545,6.52,4.820833333333334,6.12,0,2020,6,7,6,2271,2.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Very Low,High,1,3,1,2.1850324820375633,28.166666666666668,35.93788427327753
CUST00007,-0.7330607707817945,Female,North,Graduate,Salaried,-0.5683458327275134,-0.6854737433247,Home,0.20974572099976344,-1.3034188412596384,-0.4517601942933712,0.25188761313737296,2023-08-31,0,Jamalpur,Goa,Savings,True,3,27322.680000000004,262912.80333333334,6.52,4.820833333333334,6.12,0,2023,8,31,3,1091,2.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Very Low,Low,0,1,3,1.9440795300272884,12.5,32.15150819062752
CUST00008,0.7594516717975337,Male,West,Post-Graduate,Self-Employed,-0.4606595256029743,0.4295352025096694,Other,-0.45195312803733745,1.0111984129195197,1.018253136343789,-0.1307289848173948,2025-06-26,0,Muzaffarpur,Punjab,Savings,True,2,34465.026666666665,265912.86666666664,6.52,4.820833333333334,6.12,1,2025,6,26,3,426,3.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Very Low,High,0,3,1,2.672266746340272,26.166666666666668,25.940007461251785
CUST00009,1.422790535166124,Female,East,Secondary,Salaried,-0.3978056820253681,-0.40283477750147606,Business,0.9984859676264437,-0.7247645277148489,-0.5234681616415253,-0.009392236324436242,2019-11-30,0,Madhyamgram,Chhattisgarh,Savings,True,3,22538.051666666666,272526.77999999997,6.52,4.820833333333334,6.12,0,2019,11,30,5,2461,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very Low,Medium,1,1,3,1.8170135986372684,11.833333333333334,27.90982086138345
CUST00010,-0.6501434128607207,Male,East,Graduate,Salaried,-0.21734064771861514,0.4282726667446912,Car,-0.05070792276619616,-1.5927459980320333,-0.11114734938963898,-1.1741046448166104,2020-01-23,1,Bhatpara,Mizoram,NRI,True,3,23124.688333333335,180074.97833333336,6.52,4.820833333333334,6.12,0,2020,1,23,3,2407,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Very Low,None,0,1,3,2.5526458656772046,15.666666666666666,9.001566453357565
