customer_id,month,emi_amount,paid_on_time,outstanding_bal
CUST00001,1,27745.0,0,107572.21
CUST00001,2,20880.28,1,140678.17
CUST00001,3,31888.34,0,336260.3
CUST00001,4,17858.68,1,423586.18
CUST00001,5,24391.75,1,363754.03
CUST00001,6,39373.55,1,22621.2
CUST00002,1,7302.1,1,97327.65
CUST00002,2,29895.03,1,193174.41
CUST00002,3,25265.95,1,139860.34
CUST00002,4,49509.08,0,305521.57
CUST00002,5,10789.85,1,196951.86
CUST00002,6,40770.38,1,278915.92
CUST00003,1,21452.29,0,99528.94
CUST00003,2,27910.51,1,20127.45
CUST00003,3,6751.13,0,166520.35
CUST00003,4,26318.49,1,74470.33
CUST00003,5,45190.93,0,163982.92
CUST00003,6,32588.07,0,196477.29
CUST00004,1,32742.52,1,296862.33
CUST00004,2,27829.17,1,266169.91
CUST00004,3,36893.29,1,237446.3
CUST00004,4,5748.66,1,336903.2
CUST00004,5,49095.41,1,153838.92
CUST00004,6,45444.52,0,314630.24
CUST00005,1,31860.93,1,483535.35
CUST00005,2,40230.68,1,288817.2
CUST00005,3,37463.01,1,240224.39
CUST00005,4,28590.45,0,309867.9
CUST00005,5,42852.52,0,410830.65
CUST00005,6,15898.85,1,474102.59
CUST00006,1,9945.3,1,220519.28
CUST00006,2,23845.11,1,345250.13
CUST00006,3,23466.98,1,460260.47
CUST00006,4,44276.8,0,363701.05
CUST00006,5,36759.89,1,103670.85
CUST00006,6,19627.23,0,239185.49
CUST00007,1,21957.11,0,229831.77
CUST00007,2,28990.72,1,177143.49
CUST00007,3,39739.54,0,340372.94
CUST00007,4,41164.36,1,305038.29
CUST00007,5,13651.89,0,139503.2
CUST00007,6,18432.46,1,385587.13
CUST00008,1,36720.54,0,352494.13
CUST00008,2,19266.83,1,280243.8
CUST00008,3,47051.84,0,136728.77
CUST00008,4,10484.33,0,271595.44
CUST00008,5,45309.22,1,409188.73
CUST00008,6,47957.4,0,145226.33
CUST00009,1,17943.37,0,39514.72
CUST00009,2,46580.43,0,128221.99
CUST00009,3,26558.57,0,413975.85
CUST00009,4,17200.97,1,348085.65
CUST00009,5,11177.28,1,370445.49
CUST00009,6,15767.69,1,334916.98
CUST00010,1,28896.87,0,116418.28
CUST00010,2,9508.91,1,358679.03
CUST00010,3,9524.52,0,2590.72
CUST00010,4,29765.87,0,203453.73
CUST00010,5,47076.44,1,238724.26
CUST00010,6,13975.52,1,160583.85
CUST00011,1,34065.41,1,326149.37
CUST00011,2,15449.91,0,361558.84
CUST00011,3,47150.12,0,208942.49
CUST00011,4,42692.22,1,498585.9
CUST00011,5,22864.76,1,93155.82
CUST00011,6,38705.14,1,438371.58
CUST00012,1,5417.02,1,301391.48
CUST00012,2,46780.47,1,142280.83
CUST00012,3,49509.48,1,262159.27
CUST00012,4,45016.7,0,425529.87
CUST00012,5,26060.93,0,404406.94
CUST00012,6,19880.78,0,229457.24
CUST00013,1,16576.92,0,7042.1
CUST00013,2,20170.05,1,283890.61
CUST00013,3,39077.72,0,305477.25
CUST00013,4,33742.66,1,413494.91
CUST00013,5,28187.63,1,200416.62
CUST00013,6,9292.33,0,238727.05
CUST00014,1,47112.14,1,130392.64
CUST00014,2,15598.46,1,477017.41
CUST00014,3,18587.56,0,286438.67
CUST00014,4,16769.89,1,346384.3
CUST00014,5,7795.59,1,232697.5
CUST00014,6,12187.26,0,251260.24
CUST00015,1,45280.33,0,384920.52
CUST00015,2,36063.07,0,458065.19
CUST00015,3,18276.69,1,110424.62
CUST00015,4,48081.22,1,76592.78
CUST00015,5,38648.07,1,186812.42
CUST00015,6,36587.33,1,378675.26
CUST00016,1,41089.77,0,380929.81
CUST00016,2,35615.39,1,436567.53
CUST00016,3,8684.16,1,264086.56
